project_id,project_start_date,project_end_date,type_of_project,project_status,reporter_id,approver_id,CLIENT_ID,tech_coe,proposition_coe,is_active_project,is_overrunning,days_until_end,ramp_down_window,tech_coe_primary
CLIENT_112_004,28-02-2019,05-04-2019,Client Project,COMPLETE,EMP821,EMP821,CLIENT_112,,,False,False,-2640,none,
CLIENT_19_009,01-12-2025,22-12-2025,Client Project,COMPLETE,EMP847,EMP874,CLIENT_19,Data Science & ML,Value Creation,False,False,-187,none,Data Science & ML
CLIENT_146_002,28-04-2025,23-05-2025,Client Project,COMPLETE,EMP22,EMP16,CLIENT_146,Consulting;BI and Reporting,Data Advisory,False,False,-400,none,Consulting
CLIENT_86_023,17-03-2025,23-05-2025,Client Project,COMPLETE,EMP1036,EMP1011,CLIENT_86,BI and Reporting;Data Engineering;Consulting,Core Reporting,False,False,-400,none,BI and Reporting
CLIENT_56_001,29-09-2025,04-11-2025,Client Project,COMPLETE,EMP704,EMP425,CLIENT_56,Data Engineering;BI and Reporting,Data Advisory,False,False,-235,none,Data Engineering
CLIENT_212_001,07-05-2024,05-07-2024,Client Project,COMPLETE,EMP452,EMP240,CLIENT_212,Data Engineering,Core Reporting,False,False,-722,none,Data Engineering
CLIENT_143_010,03-11-2025,04-05-2026,Client Project,COMPLETE,EMP809,EMP676,CLIENT_143,Full Stack Engineering,Core Reporting,False,False,-54,none,Full Stack Engineering
CLIENT_9_237,01-12-2024,28-06-2025,Client Project,COMPLETE,EMP215,EMP215,CLIENT_9,Full Stack Engineering,Value Creation,False,False,-364,none,Full Stack Engineering
CLIENT_113_004,04-05-2026,15-06-2026,Managed Services,DEAL WON,EMP275,EMP167,CLIENT_113,BI and Reporting;Data Engineering,Core Reporting,True,False,-12,30_days,BI and Reporting
CLIENT_39_044,20-04-2023,26-04-2023,Client Project,COMPLETE,EMP173,EMP173,CLIENT_39,,,False,False,-1158,none,
CLIENT_98_013,07-07-2025,27-08-2025,Client Project,COMPLETE,EMP754,EMP195,CLIENT_98,TechOps and Automation,Core Reporting,False,False,-304,none,TechOps and Automation
CLIENT_156_001,15-09-2025,31-10-2025,Client Project,COMPLETE,EMP937,EMP1000,CLIENT_156,BI and Reporting;Data Engineering;Consulting,Data Advisory,False,False,-239,none,BI and Reporting
CLIENT_252_001,15-08-2025,11-09-2025,Client Project,COMPLETE,EMP320,EMP803,CLIENT_252,Data Engineering,Data Advisory,False,False,-289,none,Data Engineering
CLIENT_58_002,26-03-2019,31-08-2019,Client Project,COMPLETE,EMP210,EMP210,CLIENT_58,,,False,False,-2492,none,
CLIENT_98_004,01-02-2022,31-12-2022,Client Project,COMPLETE,EMP263,EMP98,CLIENT_98,,,False,False,-1274,none,
CLIENT_53_009,02-01-2023,30-06-2023,Client Project,COMPLETE,EMP973,EMP569,CLIENT_53,,Managed Services,False,False,-1093,none,
CLIENT_79_002,07-04-2025,04-05-2025,Client Project,COMPLETE,EMP231,EMP231,CLIENT_79,Data Engineering,Core Reporting,False,False,-419,none,Data Engineering
CLIENT_75_002,05-01-2026,27-02-2026,Client Project,COMPLETE,EMP452,EMP1015,CLIENT_75,BI and Reporting,Core Reporting,False,False,-120,none,BI and Reporting
CLIENT_253_001,10-10-2022,28-10-2022,Client Project,COMPLETE,,,CLIENT_253,,,False,False,-1338,none,
CLIENT_254_003,20-04-2026,08-06-2026,Managed Services,DEAL WON,EMP559,EMP559,CLIENT_254,Data Engineering;BI and Reporting,Managed Service,True,False,-19,30_days,Data Engineering
CLIENT_23_015,01-10-2025,30-06-2026,Managed Services,ACTIVE,EMP306,EMP667,CLIENT_23,Data Engineering;BI and Reporting,Managed Services,True,False,3,30_days,Data Engineering
CLIENT_255_001,01-09-2020,30-09-2020,Client Project,COMPLETE,EMP533,EMP9,CLIENT_255,,,False,False,-2096,none,
CLIENT_123_009,13-03-2025,04-04-2025,Client Project,COMPLETE,EMP275,EMP275,CLIENT_123,BI and Reporting,Exit Support,False,False,-449,none,BI and Reporting
CLIENT_169_004,06-09-2025,14-11-2025,Client Project,COMPLETE,EMP557,EMP167,CLIENT_169,BI and Reporting,Core Reporting,False,False,-225,none,BI and Reporting
CLIENT_79_007,20-10-2025,02-11-2025,Client Project,CLOSED,EMP331,EMP331,CLIENT_79,BI and Reporting,Exit Support,False,False,-237,none,BI and Reporting
CLIENT_3_008,06-10-2025,09-11-2025,Client Project,COMPLETE,EMP370,EMP370,CLIENT_3,Consulting,Value Creation,False,False,-230,none,Consulting
CLIENT_256_001,08-11-2024,30-01-2025,Client Project,COMPLETE,EMP357,EMP935,CLIENT_256,Data Science,Value Creation,False,False,-513,none,Data Science
CLIENT_98_012,05-05-2025,27-06-2025,Client Project,COMPLETE,EMP754,EMP754,CLIENT_98,Data Engineering;BI and Reporting,Core Reporting,False,False,-365,none,Data Engineering
CLIENT_257_001,09-09-2019,15-11-2019,Client Project,COMPLETE,EMP351,EMP351,CLIENT_257,,,False,False,-2416,none,
CLIENT_241_004,24-02-2025,29-04-2025,Client Project,COMPLETE,EMP571,EMP426,CLIENT_241,Data Science & ML,Value Creation,False,False,-424,none,Data Science & ML
CLIENT_83_007,02-01-2024,31-03-2024,Client Project,COMPLETE,EMP749,EMP749,CLIENT_83,QA,Managed Services,False,False,-818,none,QA
CLIENT_258_001,01-06-2026,10-08-2026,Client Project,SOW PENDING SIGNATURE,EMP196,EMP151,CLIENT_258,BI and Reporting,Exit Support,False,False,44,none,BI and Reporting
CLIENT_11_001,14-07-2025,08-08-2025,Client Project,COMPLETE,EMP359,EMP882,CLIENT_11,BI and Reporting,Core Reporting,False,False,-323,none,BI and Reporting
CLIENT_12_001,21-09-2020,30-10-2020,Client Project,COMPLETE,EMP700,EMP9,CLIENT_12,,,False,False,-2066,none,
CLIENT_120_027,12-11-2025,12-12-2025,Client Project,COMPLETE,EMP210,EMP771,CLIENT_120,Data Engineering,Managed Services,False,False,-197,none,Data Engineering
CLIENT_19_012,09-02-2026,06-04-2026,Client Project,COMPLETE,EMP847,EMP68,CLIENT_19,Data Science & ML;Gen AI;Data Engineering,Value Creation,False,False,-82,none,Data Science & ML
CLIENT_77_006,14-09-2023,17-10-2023,Client Project,COMPLETE,EMP749,EMP749,CLIENT_77,,Managed Services,False,False,-984,none,
CLIENT_259_002,03-02-2025,25-04-2025,Client Project,COMPLETE,EMP836,EMP529,CLIENT_259,BI and Reporting;Data Engineering,Core Reporting,False,False,-428,none,BI and Reporting
CLIENT_25_004,10-11-2021,31-12-2021,Client Project,COMPLETE,EMP308,EMP308,CLIENT_25,,,False,False,-1639,none,
CLIENT_163_002,01-02-2019,28-02-2019,Client Project,COMPLETE,EMP222,EMP222,CLIENT_163,,,False,False,-2676,none,
CLIENT_22_005,20-02-2023,31-03-2023,Client Project,COMPLETE,EMP233,EMP233,CLIENT_22,,,False,False,-1184,none,
CLIENT_127_004,05-09-2022,30-09-2030,BAU Activity,ACTIVE,EMP44,EMP44,CLIENT_127,,,True,False,1556,none,
CLIENT_260_001,11-12-2023,22-12-2023,Client Project,COMPLETE,EMP22,EMP762,CLIENT_260,,Data Advisory,False,False,-918,none,
CLIENT_261_001,11-05-2020,30-06-2020,Client Project,COMPLETE,EMP533,EMP533,CLIENT_261,,,False,False,-2188,none,
CLIENT_165_003,10-01-2021,31-01-2021,Client Project,COMPLETE,EMP385,EMP385,CLIENT_165,,,False,False,-1973,none,
CLIENT_262_001,16-03-2026,20-04-2026,Client Project,DEAL WON,EMP571,EMP676,CLIENT_262,Data Engineering,Data Advisory,True,False,-68,30_days,Data Engineering
CLIENT_34_007,01-02-2019,28-02-2019,Client Project,COMPLETE,,,CLIENT_34,,,False,False,-2676,none,
CLIENT_128_003,11-12-2020,08-01-2021,Client Project,COMPLETE,EMP173,EMP173,CLIENT_128,,,False,False,-1996,none,
CLIENT_263_001,04-05-2025,31-12-2025,Client Project,COMPLETE,EMP661,EMP661,CLIENT_263,Data Engineering;BI and Reporting,Data Advisory,False,False,-178,none,Data Engineering
CLIENT_264_004,04-12-2023,15-12-2023,Client Project,COMPLETE,EMP215,EMP215,CLIENT_264,,Managed Services,False,False,-925,none,
CLIENT_152_004,17-05-2023,22-12-2023,Client Project,COMPLETE,EMP1012,EMP1012,CLIENT_152,,,False,False,-918,none,
CLIENT_265_005,05-08-2019,31-01-2020,Client Project,COMPLETE,EMP533,EMP533,CLIENT_265,,,False,False,-2339,none,
CLIENT_83_010,29-09-2024,23-01-2025,Client Project,COMPLETE,EMP1010,EMP749,CLIENT_83,TechOps and Automation,Managed Services,False,False,-520,none,TechOps and Automation
CLIENT_43_009,31-03-2021,02-04-2021,Client Project,COMPLETE,EMP474,EMP474,CLIENT_43,,,False,False,-1912,none,
CLIENT_211_005,05-01-2026,01-05-2026,Client Project,COMPLETE,EMP452,EMP215,CLIENT_211,Full Stack Engineering;BI and Reporting;Data Engineering,Core Reporting,False,False,-57,none,Full Stack Engineering
CLIENT_53_006,03-01-2022,31-12-2022,Client Project,COMPLETE,EMP973,EMP425,CLIENT_53,,,False,False,-1274,none,
CLIENT_9_129,12-09-2022,02-12-2022,Internal Project,COMPLETE,EMP474,EMP474,CLIENT_9,,,False,False,-1303,none,
CLIENT_266_001,26-01-2026,16-02-2026,Client Project,COMPLETE,EMP314,EMP22,CLIENT_266,BI and Reporting,Due Diligence,False,False,-131,none,BI and Reporting
CLIENT_9_245,01-09-2024,31-08-2025,Internal Project,COMPLETE,EMP231,EMP529,CLIENT_9,,,False,False,-300,none,
CLIENT_117_002,04-11-2020,31-10-2022,Client Project,COMPLETE,,EMP233,CLIENT_117,,,False,False,-1335,none,
CLIENT_25_014,24-07-2023,28-12-2023,Client Project,COMPLETE,EMP768,EMP768,CLIENT_25,,,False,False,-912,none,
CLIENT_267_001,05-04-2023,26-05-2023,Client Project,COMPLETE,EMP408,EMP210,CLIENT_267,,,False,False,-1128,none,
CLIENT_9_216,01-08-2024,31-12-2025,Internal Project,COMPLETE,EMP252,EMP1011,CLIENT_9,,,False,False,-178,none,
CLIENT_223_002,01-05-2024,31-10-2024,Client Project,COMPLETE,EMP210,EMP161,CLIENT_223,Data Engineering,Core Reporting,False,False,-604,none,Data Engineering
CLIENT_243_007,07-04-2025,27-05-2025,Client Project,COMPLETE,EMP452,EMP398,CLIENT_243,Data Science & ML,Value Creation,False,False,-396,none,Data Science & ML
CLIENT_182_005,30-04-2024,23-05-2024,Client Project,COMPLETE,EMP452,EMP847,CLIENT_182,Analytical Engineering,Data and Reporting,False,False,-765,none,Analytical Engineering
CLIENT_268_003,02-06-2024,31-08-2026,Managed Services,ACTIVE,EMP811,EMP403,CLIENT_268,Data Engineering,Managed Services,True,False,65,90_days,Data Engineering
CLIENT_269_001,23-09-2024,30-09-2024,Client Project,COMPLETE,EMP768,EMP890,CLIENT_269,Consulting,Core Reporting,False,False,-635,none,Consulting
CLIENT_23_022,15-06-2026,13-07-2026,Client Project,PROPOSE,EMP596,EMP596,CLIENT_23,Consulting;BI and Reporting;Data Engineering,Core Reporting,False,False,16,none,Consulting
CLIENT_9_007,01-01-2019,31-12-2019,Internal Project,COMPLETE,EMP821,EMP821,CLIENT_9,,,False,False,-2370,none,
CLIENT_15_002,12-09-2024,31-08-2026,Managed Services,ACTIVE,EMP684,EMP185,CLIENT_15,Data Engineering,Managed Services,True,False,65,90_days,Data Engineering
CLIENT_9_221,01-08-2024,31-12-2026,Internal Project,ACTIVE,EMP952,EMP288,CLIENT_9,,,True,False,187,none,
CLIENT_31_008,20-04-2026,10-08-2026,Client Project,ACTIVE,EMP320,EMP781,CLIENT_31,Data Engineering;BI and Reporting,Core Reporting,True,False,44,60_days,Data Engineering
CLIENT_270_003,02-08-2022,30-09-2022,Client Project,COMPLETE,EMP958,EMP958,CLIENT_270,,,False,False,-1366,none,
CLIENT_9_133,12-09-2022,02-12-2022,Internal Project,COMPLETE,EMP385,EMP385,CLIENT_9,,,False,False,-1303,none,
CLIENT_271_002,31-07-2023,20-10-2023,Client Project,COMPLETE,,EMP1036,CLIENT_271,,Core Reporting,False,False,-981,none,
CLIENT_68_005,08-12-2024,21-02-2025,Client Project,COMPLETE,EMP22,EMP245,CLIENT_68,BI and Reporting,Exit Support,False,False,-491,none,BI and Reporting
CLIENT_272_001,03-05-2023,09-06-2023,Client Project,COMPLETE,EMP173,EMP173,CLIENT_272,,,False,False,-1114,none,
CLIENT_273_004,21-01-2025,25-04-2025,Client Project,COMPLETE,EMP661,EMP859,CLIENT_273,BI and Reporting,Core Reporting,False,False,-428,none,BI and Reporting
CLIENT_127_001,05-09-2022,31-12-2030,BAU Activity,ACTIVE,EMP301,EMP301,CLIENT_127,,,True,False,1648,none,
CLIENT_274_001,30-06-2025,13-07-2025,Client Project,COMPLETE,EMP322,EMP624,CLIENT_274,BI and Reporting,Exit Support,False,False,-349,none,BI and Reporting
CLIENT_275_002,03-02-2025,28-03-2025,Client Project,COMPLETE,EMP308,EMP479,CLIENT_275,BI and Reporting;Consulting,Core Reporting,False,False,-456,none,BI and Reporting
CLIENT_276_002,18-03-2019,31-12-2021,Client Project,COMPLETE,EMP263,EMP263,CLIENT_276,,,False,False,-1639,none,
CLIENT_203_001,03-12-2023,13-06-2024,Client Project,COMPLETE,EMP62,EMP588,CLIENT_203,,Core Reporting,False,False,-744,none,
CLIENT_216_002,27-04-2026,26-05-2026,Client Project,COMPLETE,EMP1021,EMP288,CLIENT_216,BI and Reporting;Data Engineering,Core Reporting,False,False,-32,none,BI and Reporting
CLIENT_25_012,26-06-2023,12-07-2023,Client Project,COMPLETE,EMP768,EMP233,CLIENT_25,,,False,False,-1081,none,
CLIENT_220_003,07-03-2022,09-07-2022,Client Project,COMPLETE,EMP474,EMP233,CLIENT_220,,,False,False,-1449,none,
CLIENT_277_001,25-07-2022,23-08-2022,Client Project,COMPLETE,EMP263,EMP958,CLIENT_277,,,False,False,-1404,none,
CLIENT_187_007,05-01-2026,27-02-2026,Client Project,ACTIVE,EMP306,EMP636,CLIENT_187,Data Engineering,Core Reporting,True,True,-120,none,Data Engineering
CLIENT_211_002,21-04-2025,09-05-2025,Client Project,COMPLETE,EMP308,EMP676,CLIENT_211,Consulting;BI and Reporting,Due Diligence,False,False,-414,none,Consulting
CLIENT_9_147,12-09-2022,02-12-2022,Internal Project,COMPLETE,EMP173,EMP173,CLIENT_9,,,False,False,-1303,none,
CLIENT_42_014,26-02-2024,30-08-2024,Client Project,COMPLETE,EMP346,EMP443,CLIENT_42,Data Engineering,Exit Support,False,False,-666,none,Data Engineering
CLIENT_278_001,10-06-2024,19-07-2024,Client Project,COMPLETE,EMP333,EMP68,CLIENT_278,,Core Reporting,False,False,-708,none,
CLIENT_8_002,29-05-2022,21-09-2022,Client Project,COMPLETE,EMP696,EMP696,CLIENT_8,,,False,False,-1375,none,
CLIENT_25_016,01-10-2025,31-08-2026,Managed Services,COMPLETE,EMP308,EMP102,CLIENT_25,TechOps and Automation,Managed Services,False,False,65,none,TechOps and Automation
CLIENT_279_002,17-11-2025,12-12-2025,Client Project,COMPLETE,EMP346,EMP762,CLIENT_279,NOT_MAPPED,Core Reporting,False,False,-197,none,NOT_MAPPED
CLIENT_280_002,01-02-2019,31-12-2024,Client Project,COMPLETE,EMP533,EMP398,CLIENT_280,,,False,False,-543,none,
CLIENT_21_015,01-03-2023,26-04-2024,Client Project,COMPLETE,EMP973,EMP277,CLIENT_21,Software Development and LLMs,Managed Services,False,False,-792,none,Software Development and LLMs
CLIENT_281_003,10-02-2025,31-08-2026,Managed Services,COMPLETE,EMP994,EMP610,CLIENT_281,BI and Reporting,Managed Services,False,False,65,none,BI and Reporting
CLIENT_118_004,04-03-2019,01-09-2019,Client Project,COMPLETE,EMP821,EMP821,CLIENT_118,,,False,False,-2491,none,
CLIENT_273_002,09-06-2024,31-07-2024,Client Project,COMPLETE,EMP661,EMP1011,CLIENT_273,Analytical Engineering,Core Reporting,False,False,-696,none,Analytical Engineering
CLIENT_99_001,22-05-2019,14-06-2019,Client Project,COMPLETE,,EMP9,CLIENT_99,,,False,False,-2570,none,
CLIENT_9_208,08-07-2024,30-09-2024,Internal Project,COMPLETE,EMP667,EMP667,CLIENT_9,,,False,False,-635,none,
CLIENT_101_001,06-05-2022,10-06-2022,Client Project,COMPLETE,EMP474,EMP474,CLIENT_101,,,False,False,-1478,none,
CLIENT_20_009,22-02-2022,10-06-2022,Client Project,COMPLETE,EMP903,EMP903,CLIENT_20,,,False,False,-1478,none,
CLIENT_282_004,12-04-2023,28-04-2023,Client Project,COMPLETE,EMP1031,EMP1031,CLIENT_282,,,False,False,-1156,none,
CLIENT_194_002,06-04-2025,13-06-2025,Client Project,COMPLETE,EMP557,EMP233,CLIENT_194,BI and Reporting;Data Engineering,Core Reporting,False,False,-379,none,BI and Reporting
CLIENT_9_065,14-03-2022,24-06-2022,Internal Project,COMPLETE,EMP474,EMP474,CLIENT_9,,,False,False,-1464,none,
CLIENT_20_007,16-02-2022,16-12-2022,Client Project,COMPLETE,EMP903,EMP762,CLIENT_20,,,False,False,-1289,none,
CLIENT_147_001,25-11-2021,21-01-2022,Client Project,COMPLETE,,EMP845,CLIENT_147,,,False,False,-1618,none,
CLIENT_9_212,22-07-2024,31-12-2025,Internal Project,ACTIVE,EMP445,EMP567,CLIENT_9,,,True,True,-178,none,
CLIENT_5_008,01-04-2020,17-06-2020,Client Project,COMPLETE,,,CLIENT_5,,,False,False,-2201,none,
CLIENT_241_003,25-11-2024,09-02-2025,Client Project,COMPLETE,EMP571,EMP636,CLIENT_241,BI and Reporting,Value Creation,False,False,-503,none,BI and Reporting
CLIENT_17_007,07-08-2023,23-02-2024,Client Project,COMPLETE,EMP474,EMP252,CLIENT_17,,Managed Services,False,False,-855,none,
CLIENT_283_001,04-01-2021,31-01-2021,Client Project,COMPLETE,EMP308,EMP308,CLIENT_283,,,False,False,-1973,none,
CLIENT_284_002,01-06-2026,27-07-2026,Client Project,PROPOSE,EMP974,EMP445,CLIENT_284,Data Engineering,Core Reporting,False,False,30,none,Data Engineering
CLIENT_165_012,16-09-2019,31-10-2019,Client Project,COMPLETE,EMP801,EMP801,CLIENT_165,,,False,False,-2431,none,
CLIENT_62_002,14-07-2025,19-10-2025,Client Project,COMPLETE,EMP333,EMP428,CLIENT_62,Data Engineering,Core Reporting,False,False,-251,none,Data Engineering
CLIENT_39_039,04-10-2020,18-10-2020,Client Project,COMPLETE,EMP474,EMP474,CLIENT_39,,,False,False,-2078,none,
CLIENT_208_001,17-07-2023,22-09-2023,Client Project,COMPLETE,EMP22,EMP271,CLIENT_208,,Exit Support,False,False,-1009,none,
CLIENT_272_002,05-06-2023,13-10-2023,Client Project,COMPLETE,EMP173,EMP173,CLIENT_272,,,False,False,-988,none,
CLIENT_285_001,13-05-2026,28-05-2026,Client Project,COMPLETE,EMP596,EMP151,CLIENT_285,Consulting;BI and Reporting;Data Engineering;Full Stack Engineering,Core Reporting,False,False,-30,none,Consulting
CLIENT_86_013,21-07-2019,04-03-2020,Client Project,COMPLETE,EMP385,EMP385,CLIENT_86,,,False,False,-2306,none,
CLIENT_142_003,06-04-2026,11-05-2026,Client Project,COMPLETE,EMP436,EMP36,CLIENT_142,Data Science & ML,Value Creation,False,False,-47,none,Data Science & ML
CLIENT_9_076,06-04-2022,31-05-2022,Internal Project,COMPLETE,EMP210,EMP749,CLIENT_9,,,False,False,-1488,none,
CLIENT_192_004,16-03-2026,04-05-2026,Client Project,DEAL WON,EMP937,EMP654,CLIENT_192,BI and Reporting;Data Engineering,Core Reporting,True,False,-54,30_days,BI and Reporting
CLIENT_57_003,16-08-2020,28-08-2020,Client Project,COMPLETE,EMP308,EMP308,CLIENT_57,,,False,False,-2129,none,
CLIENT_8_005,01-05-2023,14-07-2023,Client Project,COMPLETE,EMP937,EMP937,CLIENT_8,,,False,False,-1079,none,
CLIENT_59_004,30-05-2022,17-06-2022,Client Project,COMPLETE,EMP308,EMP308,CLIENT_59,,,False,False,-1471,none,
CLIENT_110_002,15-10-2020,30-11-2020,Client Project,COMPLETE,,,CLIENT_110,,,False,False,-2035,none,
CLIENT_20_004,29-11-2021,18-02-2022,Client Project,COMPLETE,EMP903,EMP233,CLIENT_20,,,False,False,-1590,none,
CLIENT_165_013,10-10-2022,01-02-2024,Managed Services,DEAL WON,EMP557,EMP959,CLIENT_165,NOT_MAPPED,NOT_MAPPED,True,False,-877,30_days,NOT_MAPPED
CLIENT_39_007,22-02-2021,12-03-2021,Client Project,COMPLETE,EMP903,EMP903,CLIENT_39,,,False,False,-1933,none,
CLIENT_286_001,15-12-2025,30-06-2026,Client Project,COMPLETE,EMP62,EMP98,CLIENT_286,Data Engineering;BI and Reporting,Core Reporting,False,False,3,none,Data Engineering
CLIENT_120_009,20-11-2023,15-12-2023,Client Project,COMPLETE,EMP638,EMP638,CLIENT_120,,,False,False,-925,none,
CLIENT_9_089,02-05-2022,10-06-2022,Internal Project,COMPLETE,EMP385,EMP385,CLIENT_9,,,False,False,-1478,none,
CLIENT_185_001,16-10-2022,14-01-2023,Client Project,COMPLETE,EMP1031,EMP535,CLIENT_185,,,False,False,-1260,none,
CLIENT_287_001,04-12-2019,31-01-2020,Client Project,COMPLETE,,,CLIENT_287,,,False,False,-2339,none,
CLIENT_10_002,12-05-2024,25-07-2024,Client Project,COMPLETE,EMP661,EMP393,CLIENT_10,Data Engineering;Data Science,Exit Support,False,False,-702,none,Data Engineering
CLIENT_140_003,07-04-2025,05-04-2026,Managed Services,ACTIVE,EMP900,EMP904,CLIENT_140,Data Engineering;BI and Reporting;Full Stack Engineering,Managed Services,True,True,-83,none,Data Engineering
CLIENT_220_002,16-05-2022,31-07-2024,Managed Services,COMPLETE,EMP937,EMP194,CLIENT_220,,Managed Services,False,False,-696,none,
CLIENT_39_014,26-07-2021,30-07-2021,Client Project,COMPLETE,EMP474,EMP474,CLIENT_39,,,False,False,-1793,none,
CLIENT_65_010,12-02-2024,08-03-2024,Client Project,COMPLETE,EMP557,EMP233,CLIENT_65,,Exit Support,False,False,-841,none,
CLIENT_120_008,01-05-2023,31-03-2025,Client Project,COMPLETE,EMP173,EMP771,CLIENT_120,,Core Reporting,False,False,-453,none,
CLIENT_288_001,19-11-2024,16-05-2025,Client Project,COMPLETE,EMP661,EMP161,CLIENT_288,BI and Reporting,Exit Support,False,False,-407,none,BI and Reporting
CLIENT_23_012,22-12-2024,30-11-2025,Client Project,COMPLETE,EMP907,EMP676,CLIENT_23,Full Stack Engineering,Managed Services,False,False,-209,none,Full Stack Engineering
CLIENT_289_001,15-01-2025,28-01-2025,Client Project,COMPLETE,EMP732,EMP210,CLIENT_289,Data Engineering,Core Reporting,False,False,-515,none,Data Engineering
CLIENT_149_001,17-01-2024,31-01-2024,Client Project,COMPLETE,,EMP848,CLIENT_149,Software Development and LLMs,Other,False,False,-878,none,Software Development and LLMs
CLIENT_83_005,03-07-2023,30-09-2023,Client Project,COMPLETE,EMP749,EMP749,CLIENT_83,,Managed Services,False,False,-1001,none,
CLIENT_281_001,19-11-2024,30-01-2025,Client Project,COMPLETE,EMP994,EMP425,CLIENT_281,Data Engineering,Core Reporting,False,False,-513,none,Data Engineering
CLIENT_290_001,14-02-2022,15-04-2022,Client Project,COMPLETE,EMP308,EMP210,CLIENT_290,,,False,False,-1534,none,
CLIENT_291_002,13-01-2025,09-03-2025,Client Project,DEAL LOST,EMP210,EMP210,CLIENT_291,BI and Reporting,Exit Support,False,False,-475,none,BI and Reporting
CLIENT_292_006,01-01-2018,31-08-2018,Client Project,COMPLETE,,,CLIENT_292,,,False,False,-2857,none,
CLIENT_86_019,11-09-2024,25-09-2024,Client Project,COMPLETE,EMP1011,EMP240,CLIENT_86,Data Engineering,Managed Services,False,False,-640,none,Data Engineering
CLIENT_9_049,14-03-2022,22-04-2022,Internal Project,COMPLETE,EMP385,EMP385,CLIENT_9,,,False,False,-1527,none,
CLIENT_39_029,27-01-2022,11-02-2022,Client Project,COMPLETE,EMP533,EMP533,CLIENT_39,,,False,False,-1597,none,
CLIENT_9_066,14-03-2022,24-06-2022,Internal Project,COMPLETE,EMP474,EMP474,CLIENT_9,,,False,False,-1464,none,
CLIENT_9_253,01-06-2024,31-12-2025,Internal Project,COMPLETE,EMP445,EMP428,CLIENT_9,,,False,False,-178,none,
CLIENT_241_007,30-03-2026,11-05-2026,Client Project,PROPOSE,EMP276,EMP826,CLIENT_241,Consulting,Core Reporting,False,False,-47,none,Consulting
CLIENT_9_189,30-12-2023,31-12-2026,Internal Project,ACTIVE,EMP732,EMP732,CLIENT_9,,,True,False,187,none,
CLIENT_165_006,16-08-2021,31-03-2022,Client Project,COMPLETE,,,CLIENT_165,,,False,False,-1549,none,
CLIENT_39_055,07-08-2023,11-08-2023,Client Project,COMPLETE,EMP557,EMP768,CLIENT_39,,,False,False,-1051,none,
CLIENT_39_056,14-08-2023,31-01-2024,Client Project,CLOSED,EMP320,EMP320,CLIENT_39,,,False,False,-878,none,
CLIENT_205_005,06-04-2026,13-04-2026,Client Project,COMPLETE,EMP1021,EMP20,CLIENT_205,BI and Reporting,Managed Service,False,False,-75,none,BI and Reporting
CLIENT_9_087,02-05-2022,08-07-2022,Internal Project,COMPLETE,EMP385,EMP385,CLIENT_9,,,False,False,-1450,none,
CLIENT_9_114,04-07-2022,09-09-2022,Internal Project,COMPLETE,EMP385,EMP210,CLIENT_9,,,False,False,-1387,none,
CLIENT_293_001,27-12-2024,18-04-2025,Client Project,COMPLETE,EMP308,EMP308,CLIENT_293,BI and Reporting,Exit Support,False,False,-435,none,BI and Reporting
CLIENT_201_006,23-06-2025,08-08-2025,Client Project,COMPLETE,EMP479,EMP567,CLIENT_201,Data Engineering;BI and Reporting,Core Reporting,False,False,-323,none,Data Engineering
CLIENT_41_008,06-09-2021,22-10-2021,Client Project,COMPLETE,EMP306,EMP306,CLIENT_41,,,False,False,-1709,none,
CLIENT_9_274,01-06-2026,01-08-2026,Internal Project,ACTIVE,EMP920,EMP397,CLIENT_9,,,True,False,35,60_days,
CLIENT_294_001,04-09-2023,21-09-2023,Client Project,COMPLETE,EMP1036,EMP231,CLIENT_294,,Data Advisory,False,False,-1010,none,
CLIENT_295_003,02-03-2025,11-04-2025,Client Project,COMPLETE,EMP452,EMP762,CLIENT_295,Data Engineering,Exit Support,False,False,-442,none,Data Engineering
CLIENT_165_007,06-10-2021,20-10-2021,Client Project,COMPLETE,,EMP233,CLIENT_165,,,False,False,-1711,none,
CLIENT_296_001,08-09-2025,14-11-2025,Client Project,COMPLETE,EMP809,EMP244,CLIENT_296,Consulting;BI and Reporting,Core Reporting,False,False,-225,none,Consulting
CLIENT_42_008,30-05-2023,21-07-2023,Client Project,COMPLETE,EMP661,EMP661,CLIENT_42,,,False,False,-1072,none,
CLIENT_297_001,31-10-2023,14-11-2023,Client Project,COMPLETE,EMP22,EMP22,CLIENT_297,,Value Creation,False,False,-956,none,
CLIENT_298_002,12-05-2025,30-01-2026,Client Project,COMPLETE,,EMP108,CLIENT_298,DS/AI,Value Creation,False,False,-148,none,DS/AI
CLIENT_198_001,03-01-2022,31-12-2022,Client Project,COMPLETE,EMP210,EMP210,CLIENT_198,,,False,False,-1274,none,
CLIENT_271_001,15-05-2023,31-05-2023,Client Project,COMPLETE,EMP638,EMP973,CLIENT_271,,Core Reporting,False,False,-1123,none,
CLIENT_72_001,15-08-2022,09-09-2022,Client Project,COMPLETE,EMP557,EMP557,CLIENT_72,,,False,False,-1387,none,
CLIENT_86_026,04-11-2025,18-11-2025,Client Project,COMPLETE,EMP1011,EMP803,CLIENT_86,Data Engineering,Core Reporting,False,False,-221,none,Data Engineering
CLIENT_276_006,11-07-2024,10-07-2025,Managed Services,COMPLETE,EMP676,EMP992,CLIENT_276,UI/UX,Managed Services,False,False,-352,none,UI/UX
